Word,Count,Translation
drive,102436,οδηγώ
hair,101852,μαλλιά
jack,101666,γρύλος
bitch,101302,σκύλα
luck,101228,τυχη
murder,101133,δολοφονία
happens,100847,συμβαίνει
air,100137,αέρας
ten,100133,δέκα
daddy,100005,πατερούλης
finally,99904,τελικά
chuckles,99607,γέλια
fast,99084,γρήγορα
cold,99032,κρύο
seem,98575,φαίνομαι
laughing,98420,γέλιο
words,98242,λόγια
hospital,98076,νοσοκομείο
street,98007,δρόμος
hang,97778,κρεμάω
dance,97339,χορός
meeting,97328,συνάντηση
till,97044,έως
others,96631,οι υπολοιποι
catch,96609,σύλληψη
follow,96529,ακολουθηστε
sense,96442,έννοια
sex,96431,φύλο
lie,95930,ψέμα
evening,95321,απόγευμα
master,95131,κύριος
known,95125,γνωστός
dream,95089,όνειρο
write,94964,γράφω
million,94514,εκατομμύριο
voice,94104,φωνή
sweet,94057,γλυκός
rather,94057,μάλλον
felt,93826,ένιωσα
sign,92512,σημάδι
lucky,92377,τυχερός
somewhere,92265,κάπου
bet,91573,στοίχημα
o,91243,Ο
jesus,91143,Ιησούς
longer,91035,μακρύτερα
calling,90868,κλήση
worked,90771,εργαζόμενος
quiet,90552,ησυχια
looked,90441,κοίταυσα
less,90011,πιο λιγο
pull,89880,Τραβήξτε
beat,89787,Ρυθμός
careful,89667,προσεκτικός
coffee,89650,καφές
return,89451,ΕΠΙΣΤΡΟΦΗ
secret,89236,μυστικό
weeks,88925,εβδομάδες
weren,88427,αρθρώ
date,88407,ημερομηνία
seeing,88192,βλέπων
fall,87762,πτώση
given,87738,δεδομένος
ooh,87683,Ωχ
fault,87420,σφάλμα
straight,87378,ευθεία
takes,86959,παίρνει
song,86877,τραγούδι
future,86832,μελλοντικός
gentlemen,86660,Αντρών
loved,86138,αγαπημένος
changed,86133,άλλαξαν
road,85751,δρόμος
calm,85638,ηρεμία
wonderful,85617,εκπληκτικός
mad,85366,τρελός
turned,85279,στριμωγμένος
drop,85186,πτώση
ladies,85029,Κυρίες
learn,84936,μαθαίνω
step,84882,βήμα
absolutely,84856,απολύτως
early,84836,νωρίς
explain,84368,εξηγώ
clean,84238,ΚΑΘΑΡΗ
piece,84224,κομμάτι
yesterday,83823,εχθές
throw,83679,βολή
picture,83461,εικόνα
land,83422,γη
feet,83295,πόδια
wonder,82903,θαύμα
questions,82887,ερωτήσεις
speaking,82769,Ομιλία
worth,82559,αξία
darling,82240,πολυαγαπημένος
dude,82190,Φίλε
giving,82085,δίνοντας
president,81980,Πρόεδρος
eye,81953,μάτι
quick,81548,γρήγορα
moving,81193,κίνηση
figure,81048,εικόνα
state,80818,κατάσταση
strong,80501,ισχυρός
sam,80423,ο Σαμ
none,80315,κανένας
amazing,80267,φοβερο
ones,79546,από αυτά
works,79323,έργα
act,79020,υποκρίνομαι
needed,78920,απαιτείται
weird,78317,Περίεργο
law,78264,νόμος
worried,78083,ανήσυχος
report,77824,κανω ΑΝΑΦΟΡΑ
goodbye,77514,αντιο σας
missing,77326,λείπει
choice,77197,επιλογή
happening,77052,συμβαίνει
chief,76951,αρχηγός
wedding,76940,γάμος
strange,76863,παράξενος
general,76816,γενικός
pain,76799,πόνος
'am,76751,'είμαι
kidding,76744,αστεϊσμός
decided,76683,αποφασισμένος
ya,76658,ναι
pass,76635,πέρασμα
tired,76540,κουρασμένος
class,76489,τάξη
officer,76015,αξιωματικός
kept,75930,διατηρημένος
wake,75776,ίχνη
worse,75595,χειρότερος
busy,75557,απασχολημένος
eh,75178,ε
mistake,74957,λάθος
kiss,74790,φιλί
court,74580,δικαστήριο
building,74492,Κτίριο
finish,74299,φινίρισμα
during,74298,στη διάρκεια
age,74262,ηλικία
ship,74224,πλοίο
caught,74060,αλιευμένος
marry,73938,παντρεύω
meant,73929,ενδεχομένως
sell,73802,Πουλώ
dark,73770,σκοτάδι
watching,73700,βλέποντας
system,73678,Σύστημα
suppose,73465,υποθέτω
evidence,73113,απόδειξη
movie,73070,ταινία
ride,73070,βόλτα
t,72881,Τ
completely,72777,εντελώς
mouth,72733,στόμα
totally,72478,τελείως
birthday,72140,γενέθλια
tv,72054,τηλεόραση
forgive,71915,συγχωρώ
born,71906,γεννημένος
imagine,71873,φαντάζομαι
information,71840,πληροφορίες
instead,71571,αντι αυτου
definitely,71524,οπωσδηποτε
security,71503,ασφάλεια
certainly,71435,σίγουρα
film,71407,ταινία
month,71163,μήνας
lying,71098,ξαπλωμένη
unless,70979,εκτός
train,70974,τρένο
seven,70968,επτά
wear,70955,φορούν
clothes,70929,ρούχα
michael,70741,Μιχαήλ
hotel,70659,ξενοδοχειο
christmas,70624,Χριστούγεννα
attack,70583,επίθεση
hasn,70449,έχει
round,70043,γύρος
expect,69614,αναμένω
sing,69575,τραγουδώ
terrible,69499,τρομερός
george,69441,Γεώργιος
bag,69186,τσάντα
history,69119,ιστορία
blue,68839,μπλε
near,68790,κοντά
broke,68629,έσπασε
station,68571,σταθμός
seriously,68524,σοβαρά
forever,68510,για πάντα
david,68505,Δαβίδ
frank,68472,ειλικρινής
except,68440,εκτός
thinks,68354,πιστεύω
message,68305,μήνυμα
entire,68282,ολόκληρος
joe,68244,δίαυλος
table,67702,τραπέζι
talked,67666,μιλώ
across,67595,απέναντι
rock,67361,βράχος
lovely,67236,ωραίος
handle,67089,λαβή
middle,66734,Μέσης
buddy,66718,φίλε
paid,66526,επί πληρωμή
protect,66508,προστατεύω
using,66503,χρησιμοποιώντας
floor,66456,πάτωμα
ran,66177,έτρεξα
swear,66157,ορκίζομαι
spend,66119,δαπανήσει
situation,66029,κατάσταση
ring,66018,δαχτυλίδι
anywhere,65981,οπουδήποτε
dangerous,65974,επικίνδυνος
bill,65959,νομοσχέδιο
york,65880,Υόρκη
army,65795,στρατός
lead,65756,οδηγω
bought,65752,αγορασμένος
finished,65659,πεπερασμένος
fair,65474,έκθεση
sun,65448,ήλιος
letter,65448,γράμμα
fool,65432,ανόητος
attention,65421,προσοχή
club,65275,Λέσχη
simple,65090,απλός
interesting,65082,ενδιαφέρων
space,64991,χώρος
test,64969,δοκιμή
box,64788,κουτί
group,64761,ομάδα
single,64614,μονόκλινο
sitting,64521,συνεδρίαση
marriage,64465,γάμος
join,64456,Συμμετοχή
fear,64352,φόβος
d,64304,ρε
peace,64262,ειρήνη
forgot,64169,ξέχασα
force,63737,δύναμη
short,63714,μικρός
normal,63676,κανονικός
charlie,63672,Κάρολος
present,63307,παρόν
enjoy,63294,απολαμβάνω
mike,63219,μικρόφωνο
crime,63084,έγκλημα
horse,62923,άλογο
ground,62860,έδαφος
american,62835,Αμερικανός
count,62763,μετρώ
area,62755,περιοχή
charge,62746,χρέωση
honor,62722,τιμή
lunch,62582,μεσημεριανό
miles,62523,μίλια
radio,62502,ραδιόφωνο
idiot,62357,βλάκας
ball,62325,μπάλα
surprise,62170,έκπληξη
paper,62166,χαρτί
key,62153,κλειδί
boat,62148,σκάφος
quickly,62072,γρήγορα
gold,61935,χρυσός
bar,61927,μπαρ
fish,61813,ψάρι
mark,61805,σημάδι
tom,61785,κάποιος
wearing,61749,κουραστικός
crying,61698,κλαίων
accident,61671,ατύχημα
government,61646,κυβέρνηση
eight,61400,οκτώ
fell,61371,καταρρίπτω
cover,61052,κάλυμμα
certain,61050,βέβαιος
interested,61029,ενδιαφερόμενος
deep,60938,βαθύς
star,60903,αστέρι
sea,60812,θάλασσα
agree,60716,συμφωνώ
problems,60633,προβλήματα
detective,60633,ντεντεκτίβ
prison,60581,φυλακή
major,60560,μείζων
stick,60548,ραβδί
offer,60444,προσφορά
difficult,60404,δύσκολος
smart,60397,έξυπνος
personal,60381,προσωπικός
record,60360,Ρεκόρ
stopped,60200,σταμάτησα
hide,60133,κρύβω
whether,59993,αν
bank,59962,τράπεζα
trip,59906,ταξίδι
relax,59715,χαλαρώστε
america,59703,Αμερική
public,59687,δημόσιο
list,59557,λίστα
afternoon,59466,απόγευμα
brain,59464,εγκέφαλος
fix,59349,διορθώσετε
bastard,59332,μπάσταρδος
proud,59309,υπερήφανος
tea,59277,τσάι
service,59277,υπηρεσία
screaming,59151,σκούξιμο
forward,59064,προς τα εμπρός
angry,58748,θυμωμένος
park,58713,πάρκο
soul,58677,ψυχή
fighting,58657,μαχητικός
peter,58654,Πέτρος
rich,58651,πλούσιος
agent,58608,μέσο
blow,58531,πλήγμα
paul,58529,Παύλος
dress,58429,φόρεμα
mary,58366,Μαρία
missed,58324,αναπάντητες
scene,58017,σκηνή
killing,57890,φόνος
standing,57866,ορθοστασία
saved,57667,αποθηκευμένος
mm,57659,mm
respect,57647,Σεβασμός
killer,57555,φονιάς
ice,57545,πάγος
mess,57542,Ανω ΚΑΤΩ
tough,57486,σκληρός
feels,57388,αίσθηση
church,57254,Εκκλησία
sad,57179,λυπημένος
cell,57033,κύτταρο
drunk,56919,μεθυσμένος
share,56854,μερίδιο
camera,56757,ΦΩΤΟΓΡΑΦΙΚΗ ΜΗΧΑΝΗ
mm-hmm,56720,mm-χμμ
within,56709,στα πλαίσια
card,56659,κάρτα
fly,56595,πετώ
ben,56502,Μπεν
girlfriend,56475,φιλενάδα
laugh,56460,γέλιο
smell,56399,μυρωδιά
broken,56391,σπασμένος
mum,56281,μαμά
honest,56234,τίμιος
often,55998,συχνά
starting,55979,εκκίνηση
calls,55940,κλήσεις
y,55842,y
spent,55836,δαπανών
third,55750,τρίτος
english,55677,Αγγλικά
visit,55638,επίσκεψη
mama,55372,μαμά
judge,55336,δικαστής
window,55285,παράθυρο
hungry,55259,πεινασμένος
dare,55131,τολμώ
relationship,55128,σχέση
moved,55096,κινούμενος
prove,55079,αποδεικνύω
private,54978,ιδιωτικός
wall,54813,τείχος
seat,54615,έδρα
i-i,54460,i-i
position,54449,θέση
lieutenant,54321,υπολοχαγός
realize,54306,συνειδητοποιώ
lt,54305,LT
especially,54148,ειδικά
machine,54140,μηχανή
walking,54115,το περπάτημα
art,54096,τέχνη
pleasure,54085,ευχαρίστηση
bloody,54026,αιματηρός
college,53933,Κολλέγιο
french,53911,γαλλική γλώσσα
involved,53718,εμπλεγμένος
cry,53674,κραυγή
became,53603,έγινε
lived,53550,έζησε
impossible,53527,αδύνατο
obviously,53527,προφανώς
neither,53452,κανενα απο τα δυο
accept,53291,αποδέχομαι
boyfriend,53124,φίλος
besides,53110,εκτός
queen,53006,βασίλισσα
teacher,53004,δάσκαλος
cops,52981,αστυνομικοί
sake,52827,χάρη
loves,52751,λατρεύει
carry,52734,μεταφέρω
teach,52731,διδάσκω
apartment,52714,διαμέρισμα
upset,52565,αναστατωμένος
green,52557,πράσινος
la,52546,λα
liked,52485,άρεσε
cute,52240,χαριτωμένος
evil,52175,κακό
professor,52026,καθηγητής
contact,51750,Επικοινωνία
joke,51728,αστείο
cop,51701,μπάτσος
huge,51581,τεράστιος
holy,51499,άγιος
store,51492,κατάστημα
jail,51429,φυλακή
likes,51334,συμπαθεί
lawyer,51332,δικηγόρος
doubt,51287,αμφιβολία
continue,51279,να συνεχίσει
appreciate,51258,Εκτιμώ
cat,51175,Γάτα
shop,50976,κατάστημα
driving,50866,οδήγηση
congratulations,50847,Συγχαρητήρια
wrote,50800,έγραψα
village,50792,χωριό
quit,50649,εγκαταλείπω
field,50617,πεδίο
james,50562,Τζέιμς
wine,50522,κρασί
decision,50446,απόφαση
south,50364,Νότος
sleeping,50357,κοιμάμαι
slow,50276,αργός
laughter,50196,γέλιο
island,50107,νησί
glass,50103,ποτήρι
beginning,50069,αρχή
cash,49976,μετρητά
dying,49963,βαφή
hundred,49823,εκατό
whose,49808,του οποίου
difference,49743,διαφορά
plane,49704,επίπεδο
push,49690,Σπρώξτε
continues,49684,συνεχής
mmm,49655,μμμ
singing,49144,τραγούδι
eating,49119,τρώει
north,49107,Βόρειος
mrs,49087,κυρία
tree,49017,δέντρο
madam,48931,κυρία
gift,48891,δώρο
truck,48807,φορτηγό
putting,48797,βάζοντας
bear,48674,αρκούδα
board,48666,σανίδα
grab,48653,αρπάζω
beer,48641,μπύρα
stuck,48497,κολλημένος
magic,48484,μαγεία
support,48351,υποστήριξη
rules,48345,κανόνας
grunts,48253,κροτάλισμα
partner,48247,εταίρος
reach,48221,φθάνω
wind,48063,άνεμος
colonel,48036,συνταγματάρχης
max,47938,Μέγιστη
immediately,47938,αμέσως
seconds,47936,δευτερόλεπτα
thousand,47934,χίλια
gives,47900,δίνει
experience,47824,εμπειρία
cheers,47819,Στην υγειά σας
victim,47739,θύμα
upon,47699,επάνω σε
computer,47672,υπολογιστή
christ,47650,Χριστός
planet,47564,πλανήτης
promised,47559,υποσχόμενος
bus,47534,λεωφορείο
henry,47491,αυτεπαγωγής
dirty,47462,βρώμικος
search,47439,Αναζήτηση
staying,47241,παραμονή
dreams,47210,όνειρα
arrest,46994,σύλληψη
holding,46938,κράτημα
suddenly,46833,ξαφνικά
usually,46770,συνήθως
lots,46570,πλήθος
shoes,46490,παπούτσια
er,46383,er
jump,46358,άλμα
rid,46242,απαλλάσσω
yo,46233,γιο
knock,46228,χτύπημα
owe,46153,οφείλω
harry,46028,βασανίζω
grow,46010,καλλιεργώ
worst,45845,κατισχύω
river,45834,ποτάμι
aunt,45834,θεία
patient,45828,υπομονετικος
kitchen,45812,κουζίνα
aah,45774,αά
