Word,Count,Translation,ZegedronCount
except,68440,εκτός,0
thinks,68354,πιστεύω,0
message,68305,μήνυμα,0
entire,68282,ολόκληρος,0
joe,68244,δίαυλος,0
table,67702,τραπέζι,0
talked,67666,μιλώ,0
across,67595,απέναντι,0
rock,67361,βράχος,0
lovely,67236,ωραίος,0
handle,67089,λαβή,0
middle,66734,Μέσης,0
buddy,66718,φίλε,0
paid,66526,επί πληρωμή,0
protect,66508,προστατεύω,0
using,66503,χρησιμοποιώντας,0
floor,66456,πάτωμα,0
ran,66177,έτρεξα,0
swear,66157,ορκίζομαι,0
spend,66119,δαπανήσει,0
situation,66029,κατάσταση,0
ring,66018,δαχτυλίδι,0
anywhere,65981,οπουδήποτε,0
dangerous,65974,επικίνδυνος,0
bill,65959,νομοσχέδιο,0
york,65880,Υόρκη,0
army,65795,στρατός,0
lead,65756,οδηγω,0
bought,65752,αγορασμένος,0
finished,65659,πεπερασμένος,0
fair,65474,έκθεση,0
sun,65448,ήλιος,0
letter,65448,γράμμα,0
fool,65432,ανόητος,0
attention,65421,προσοχή,0
club,65275,Λέσχη,0
simple,65090,απλός,0
interesting,65082,ενδιαφέρων,0
space,64991,χώρος,0
test,64969,δοκιμή,0
box,64788,κουτί,0
group,64761,ομάδα,0
single,64614,μονόκλινο,0
sitting,64521,συνεδρίαση,0
marriage,64465,γάμος,0
join,64456,Συμμετοχή,0
fear,64352,φόβος,0
d,64304,ρε,0
peace,64262,ειρήνη,0
forgot,64169,ξέχασα,0
force,63737,δύναμη,0
short,63714,μικρός,0
normal,63676,κανονικός,0
charlie,63672,Κάρολος,0
present,63307,παρόν,0
enjoy,63294,απολαμβάνω,0
mike,63219,μικρόφωνο,0
crime,63084,έγκλημα,0
horse,62923,άλογο,0
ground,62860,έδαφος,0
american,62835,Αμερικανός,0
count,62763,μετρώ,0
area,62755,περιοχή,0
charge,62746,χρέωση,0
honor,62722,τιμή,0
lunch,62582,μεσημεριανό,0
miles,62523,μίλια,0
radio,62502,ραδιόφωνο,0
idiot,62357,βλάκας,0
ball,62325,μπάλα,0
surprise,62170,έκπληξη,0
paper,62166,χαρτί,0
key,62153,κλειδί,0
boat,62148,σκάφος,0
quickly,62072,γρήγορα,0
gold,61935,χρυσός,0
bar,61927,μπαρ,0
fish,61813,ψάρι,0
mark,61805,σημάδι,0
tom,61785,κάποιος,0
wearing,61749,κουραστικός,0
crying,61698,κλαίων,0
accident,61671,ατύχημα,0
government,61646,κυβέρνηση,0
eight,61400,οκτώ,0
fell,61371,καταρρίπτω,0
cover,61052,κάλυμμα,0
certain,61050,βέβαιος,0
interested,61029,ενδιαφερόμενος,0
deep,60938,βαθύς,0
star,60903,αστέρι,0
sea,60812,θάλασσα,0
agree,60716,συμφωνώ,0
problems,60633,προβλήματα,0
detective,60633,ντεντεκτίβ,0
prison,60581,φυλακή,0
major,60560,μείζων,0
stick,60548,ραβδί,0
offer,60444,προσφορά,0
difficult,60404,δύσκολος,0
smart,60397,έξυπνος,0
personal,60381,προσωπικός,0
record,60360,Ρεκόρ,0
stopped,60200,σταμάτησα,0
hide,60133,κρύβω,0
whether,59993,αν,0
bank,59962,τράπεζα,0
trip,59906,ταξίδι,0
relax,59715,χαλαρώστε,0
america,59703,Αμερική,0
public,59687,δημόσιο,0
list,59557,λίστα,0
afternoon,59466,απόγευμα,0
brain,59464,εγκέφαλος,0
fix,59349,διορθώσετε,0
bastard,59332,μπάσταρδος,0
proud,59309,υπερήφανος,0
tea,59277,τσάι,0
service,59277,υπηρεσία,0
screaming,59151,σκούξιμο,0
forward,59064,προς τα εμπρός,0
angry,58748,θυμωμένος,0
park,58713,πάρκο,0
soul,58677,ψυχή,0
fighting,58657,μαχητικός,0
peter,58654,Πέτρος,0
rich,58651,πλούσιος,0
agent,58608,μέσο,0
blow,58531,πλήγμα,0
paul,58529,Παύλος,0
dress,58429,φόρεμα,0
mary,58366,Μαρία,0
missed,58324,αναπάντητες,0
scene,58017,σκηνή,0
killing,57890,φόνος,0
standing,57866,ορθοστασία,0
saved,57667,αποθηκευμένος,0
mm,57659,mm,0
respect,57647,Σεβασμός,0
killer,57555,φονιάς,0
ice,57545,πάγος,0
mess,57542,Ανω ΚΑΤΩ,0
tough,57486,σκληρός,0
feels,57388,αίσθηση,0
church,57254,Εκκλησία,0
sad,57179,λυπημένος,0
cell,57033,κύτταρο,0
drunk,56919,μεθυσμένος,0
share,56854,μερίδιο,0
camera,56757,ΦΩΤΟΓΡΑΦΙΚΗ ΜΗΧΑΝΗ,0
mm-hmm,56720,mm-χμμ,0
within,56709,στα πλαίσια,0
card,56659,κάρτα,0
fly,56595,πετώ,0
ben,56502,Μπεν,0
girlfriend,56475,φιλενάδα,0
laugh,56460,γέλιο,0
smell,56399,μυρωδιά,0
broken,56391,σπασμένος,0
mum,56281,μαμά,0
honest,56234,τίμιος,0
often,55998,συχνά,0
starting,55979,εκκίνηση,0
calls,55940,κλήσεις,0
y,55842,y,0
spent,55836,δαπανών,0
